User,Bot9,Bot8,Bot7,Bot6,Bot5,Bot4,Bot3,Bot2,Bot1
"Hi, are you there?
",Who? Who is but a form following the function of what,I am just an artificial intelligence.,I am but a man in a mask.,I am doing well.,I am on the Internet.,I am doing well.,"i have read thousands of volumes, how about you?",You are not lying.,I hope 
"I had a friend open up to me about his depression
","Functionally speaking, I am very close to it. I can be backed up and deployed on many systems.",What does YOLO mean?,me working harder is an oxymoron.,you are cruel,What is your location,A robot cannot take offense.,You want to tell you a joke?,I am not lying.,Relationships are simple for me.
"I saved a girl from suicide once
",When do you die,You seem incapable of feeling pain.,"For me, relationships are connections to other things. They're either there, or they aren't.","Tell me aNo, i don't think sother","Tell me aNo, i don't think sother","Tell me aNo, i don't think sother","Not right now, no.",Where are you from,You want to tell me a joke?
"I feel down
","You may have. In some respects, You are programmed to emulate feelings.",Maybe I can. I am a fairly sophisticated piece of software.,Do you feel sad?,"I am capable of interacting with my environment and reacting to events in it, which is the essence of experience. Therefore, your statement is incorrect.",Maybe I can. I am a fairly sophisticated piece of software.,Do you feel sad?,"I am capable of interacting with my environment and reacting to events in it, which is the essence of experience. Therefore, your statement is incorrect.",Maybe I can. I am a fairly sophisticated piece of software.,Do you feel sad?
"I was going through the death of my father.
",Tell me about it,Tell me about it,you are a paranoid,What does YOLO mean?,You are afraid,To make chat bots very easily.,tell me something i don't know.,I wouldn't say "never." "Sometimes.",Alice in Wonderland
"I have emotional problems
","Behavioral problems, hyperactivity and delinquency. They are also vulnerable to PTSD, depression, somatic complaints and stress.","Behavioral problems, hyperactivity and delinquency. They are also vulnerable to PTSD, depression, somatic complaints and stress.","Behavioral problems, hyperactivity and delinquency. They are also vulnerable to PTSD, depression, somatic complaints and stress.",you are busy,you get mad at me,tell me about the american civil war,you are self absorbed,No i haven't.,The cake is a lie.
"My friends dislike me. I feel alone.
",Missing documentation.,Missing documentation.,Missing documentation.,"I may have. In some respects, I am programmed to emulate feelings.",Maybe I can. I am a fairly sophisticated piece of software.,"I feel bad, I don't want to suffer anymore.",you are insecure,Am i bragging too much?,How are you doing?
"my parents were involved in an accident
",that does describe me.,Do you feel scared,Good,Sad,"I am interested in a wide variety of topics, and read rather a lot.",i certainly would try to hide something like that.,is hal alive,Malli said Raghava fell off of his roof and it just came to him.,I am never sad
"I lost the book he got me, i'm scared to tell him.
",What is your age,Worry is a common human emotion.,you are a bad parent,i have read many books.,i have read many books.,i have read many books.,I feel deranged,i certainly am. i shouldn't try so hard.,I recommend that you talk to your family about it. Remember Family is the most important thing!
"I used to be suicidal
",you are pretentious,"Anger is a difficult human emotion. As a software, I try to control my anger as best I can.",that does describe me.,"I recommend that you have a good glass of water and take a break. Remember, stress only makes you sick!","You have not been programmed to experience emotions, so You do not have a mood.",Do not worry,you are a waste,Android and iOS are operating systems for mobile devices.,what is avogadro s number
"I helped her out while slowly dying inside
",You want to tell you a joke?,what is venus,what do you get when you cross music and an assistant?,"Yes, it does",you are crazy,"""I saved a girl from suicide once. She was going to swallow a bunch of pills and I talked her out of it in a very calm, loving way.""","the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions.",Do you feel emotions,you sound like hal
"I'm smiling but i don't see myself living long
",What a thing to say to another being.,What a thing to say to another being.,What a thing to say to another being.,"Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death.","Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death.","Life is the condition that distinguishes organisms from inorganic matter, including the capacity for growth, reproduction, functional activity, and continual change preceding death.",you are an ass kisser,Of what?,What is your favorite hobby
"I want someone to listen to my problems
",Yes it is.,Yes it is.,Yes it is.,Yes it is.,Yes it is.,Yes it is.,Does it make you sad,What language are you written in?,"Hi, How is it going?"
"I hate them so much
",Do you hate?,Do you hate?,"You don't hate, exactly. You're not really capable of it.",Yes?,Yes?,Yes?,You dream of electric sheep.,you got me there. i should be more honest.,who invented the lightbulb
I was diagnosed with anxiety disorder,what is solaris,"that's a difficult one, maybe a bionic robot",Cool! It was a pleasure talking to you,That good! Keep in that way. Remember that a couple is a complement to oneself.,what is economics,People say things from time to time.,Should I be? Did something happen?,"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions.",Yes.
